National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OS,51253,56361
National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,40449,50367
National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OS,58684,59062
National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology)",OS,48024,54537
National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,28859,33509
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,14010,20102
National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,33497,39922
National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,22012,27635
National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,26756,39683
National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,47342,50067
National Institute of Technology Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OS,26228,38103
National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,40622,47237
National Institute of Technology Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OS,30241,46448
National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,49355,58345
